Metal,h (10^-14 eV s),sigma_h (10^-14  eV s)
Cesium,0.406817,0.014153
Platinum,0.398194,0.023775
Potassium,0.406974,0.016123
Silver,0.396768,0.018616
Sodium,0.387794,0.015935
